Name,SKU,Expected QTY
"Tan Salt and Pepper X-Large Cowhide Rug, 7'7"" x 6'7"" #94512",VO10494512,1
"Warm Chestnut Brown X-Large Cowhide Rug, 7'1"" x 6'9"" #00702",VO10600702,1
"Charcoal Salt and Pepper X-Large Cowhide Rug, 7'10"" x 6'0"" #00669",VO10600669,1
"Charcoal X-Large Cowhide Rug, 7'10"" x 6'8"" #00768",VO10600768,1
"Dark Brindle X-Large Cowhide Rug, 7'8"" x 6'7"" #53524",VO10553524,1
"Tan Speckled X-Large Cowhide Rug, 7'0"" x 6'1"" #94455",VO10494455,1
"Ivory X-Large Cowhide Rug, 7'0"" x 6'7"" #94331",VO10494331,1
"Ivory Medium Cowhide Rug, 6'11"" x 5'8"" #52863",VO10552863,1
"Ivory X-Large Cowhide Rug, 7'2"" x 6'7"" #00718",VO10600718,1
"Black Salt and Pepper X-Large Cowhide Rug, 7'6"" x 6'6"" #00685",VO10600685,1
"Black and White Speckled X-Large Cowhide Rug, 7'5"" x 6'9"" #53210",VO10553210,1
"Taupe Brindle X-Large Cowhide Rug, 7'5"" x 6'4"" #54234",VO10554234,1
"Silvery Grey XX-Large Cowhide Rug, 8'0"" x 7'2"" #87480",VO10587480,1
"Grey Cloud XX-Large Cowhide Rug, 7'10"" x 7'3"" #87544",VO10587544,1
"Light Grey X-Large Cowhide Rug, 7'4"" x 6'10"" #87543",VO10587543,1
"Solid Grey XX-Large Cowhide Rug, 8'1"" x 7'0"" #72558",VO10572558,1
"Taupe Grey X-Large Cowhide Rug, 7'5"" x 6'6"" #87572",VO10587572,1
"Grey XX-Large Cowhide Rug, 7'9"" x 7'0"" #87570",VO10587570,1
"Grey Taupe Brindle XX-Large Cowhide Rug, 7'9"" x 7'1"" #66743",VO10566743,1
"Dark Brown Brindle X-Large Cowhide Rug, 7'1"" x 6'11"" #87501",VO10587501,1
"Slate Grey XX-Large Cowhide Rug, 8'4"" x 6'11"" #87580",VO10587580,1
"Soft Grey XX-Large Cowhide Rug, 7'9"" x 6'11"" #87578",VO10587578,1
